Weizenmehl,Mehl
Zimt - Zucker,Zucker
Butter für die Form,Butter
Himalayasalz,Salz
Meersalz,Salz
Kräuter nach Geschmack,Kräuter
Weizenmehl Type 550,Mehl
Roggenmehl 1150,Roggenmehl
Roggen -Flocken,Roggenflocken
Fett für die Pfanne,Öl
Dinkelmehl Type 630,Dinkelmehl
Roggenmehl Type 1150,Roggenmehl
Butter zum Braten,Butter
Ei zum Bestreichen,Ei
Zwetschgenmusoder Aprikosenmarmelade,Zwetschgenmus
Milch 3,Milch
Sahne mit hohem Fettgehalt,Sahne
Vollmilch,Milch
Butterschmalz zum Frittieren,Butterschmalz
Knoblauchzehe,Knoblauch
Butter Schweineschmalz,Butter
Ingwer ca. 1 Daumenlänge,Ingwer
Crème fraîche,Creme fraiche
Worcestershiresauce,Worcestersauce
Gulaschfleisch vom Rind,Rinfleisch
Paprikaschote,Paprika
Pfefferkörner,Pfeffer
Chilischote,Chillischote
Estragonessig,Essig
Hirschgulasch,Hirschfleisch
Limonensaft Zitronensaft,Zitronensaft
